Employee_ID,Name,Gender,Age,Department,Designation,Experience_Years,Salary,Performance_Rating,Attendance,City,Joining_Date,Work_Mode,Overtime_Hours,Training_Hours
1001,Sneha Patel,M,51,Sales,Intern,18,71015,Good,71.5,Bangalore,2020-11-18,Office,21,9
1002,Rohan Jain,M,40,IT,Senior Analyst,2,127877,Average,88.1,Chennai,2019-12-15,Remote,13,41
1003,Rohan Gupta,M,44,Marketing,Senior Analyst,6,40339,Average,94.2,Bangalore,2019-11-19,Remote,10,35
1004,Sneha Mehta,M,45,HR,Manager,13,28491,Good,74.71,Mumbai,2018-11-26,Office,22,16
1005,Aditya Yadav,F,56,Sales,Intern,13,25706,Good,70.45,Lucknow,2022-10-13,Remote,10,39
1006,Neha Jain,M,41,Marketing,Senior Analyst,12,122493,Excellent,79.38,Hyderabad,2021-04-22,Hybrid,16,34
1007,Priya Patel,F,50,Sales,Intern,11,40728,Average,87.64,Mumbai,2023-11-13,Office,3,10
1008,Riya Jain,M,44,Sales,Intern,8,31997,Poor,74.15,Lucknow,2020-02-24,Remote,12,19
1009,Aditya Maurya,F,50,HR,Manager,0,128537,Poor,82.78,Bangalore,2024-07-28,Office,6,19
1010,Priya Verma,M,42,Finance,Intern,18,85408,Average,86.57,Hyderabad,2020-07-29,Office,15,20
1011,Riya Maurya,F,48,Marketing,Executive,10,83097,Excellent,87.97,Jaipur,2021-07-12,Remote,0,24
1012,Vivaan Gupta,M,27,HR,Executive,18,63523,Excellent,78.23,Lucknow,2022-08-07,Hybrid,12,17
1013,aarav mehta,F,55,Sales,Analyst,17,146648,Good,82.0,Bangalore,2019-09-18,Remote,0,48
1014,Rahul Kumar,M,48,HR,Manager,11,50163,Poor,93.35,Bangalore,2018-05-19,Remote,10,46
1015,aarav mehta,F,34,Finance,Analyst,0,42718,Excellent,98.24,Mumbai,2020-02-01,Hybrid,5,50
1016,Aisha singh,F,30,Marketing,Executive,18,112508,Excellent,95.86,Mumbai,2023-01-08,Remote,19,35
1017,Aisha yadav,F,36,Finance,Analyst,19,108767,Average,86.93,Jaipur,2024-04-21,Remote,2,38
1018,Ananya Kumar,F,36,IT,Manager,16,64619,Excellent,82.31,Chennai,2022-04-05,Remote,11,33
1019,aditya Gupta,F,51,Marketing,Manager,4,37126,Good,79.99,Pune,2019-11-07,Office,30,7
1020,Aditya Yadav,F,45,Finance,Intern,2,114131,Average,73.75,Delhi,2018-04-02,Office,4,13
1021,priya Kumar,F,33,Sales,Senior Analyst,1,89926,Good,73.2,Pune,2020-12-28,Office,8,15
1022,Sneha Verma,M,26,Marketing,Intern,2,65633,Excellent,90.65,Pune,2018-02-06,Remote,25,15
1023,Ananya Kumar,M,29,Marketing,Manager,7,102654,Average,77.79,Hyderabad,2022-11-23,Hybrid,25,29
1024,Aisha Verma,M,56,HR,Executive,15,28317,Average,77.64,Chennai,2023-12-28,Office,11,26
1025,Arjun Kumar,F,40,Sales,Executive,5,69980,Poor,99.95,Hyderabad,2021-04-16,Hybrid,29,46
1026,Arjun Gupta,F,38,IT,Intern,12,69115,Good,75.64,Jaipur,2023-01-11,Remote,29,50
1027,Vivaan Patel,M,41,Finance,Manager,15,86646,Excellent,74.44,Hyderabad,2023-03-10,Office,27,13
1028,Aisha yadav,F,24,HR,Executive,15,68158,Average,72.96,Lucknow,2018-05-17,Remote,26,24
1029,Aisha Jain,F,53,Finance,Manager,2,80963,Good,87.39,Jaipur,2024-02-16,Hybrid,9,25
1030,Kabir singh,F,47,IT,Executive,12,72631,Good,88.84,Jaipur,2022-07-22,Office,18,14
1031,simran Sharma,F,27,IT,Manager,13,74316,Average,80.96,Bangalore,2024-07-17,Office,4,26
1032,Ananya Verma,F,26,Marketing,Analyst,7,130364,Good,86.06,Bangalore,2022-05-02,Office,25,33
1033,Riya Patel,F,35,IT,Manager,11,84342,Good,93.65,Bangalore,2020-08-29,Office,4,13
1034,Vivaan Maurya,F,38,Finance,Manager,7,40504,Excellent,94.54,Delhi,2019-10-24,Hybrid,8,9
1035,Rahul mehta,M,52,Sales,Intern,8,93593,Good,98.74,Lucknow,2024-04-09,Office,26,44
1036,Ananya Maurya,M,31,Sales,Analyst,0,51660,Good,94.73,Lucknow,2022-12-16,Remote,27,15
1037,Rohan Verma,F,40,Marketing,Senior Analyst,5,62196,Good,86.95,Bangalore,2019-02-19,Office,25,5
